word,meaning,phonetic,example,hit
"agent","n. 代理人，经济人","'eidʒәnt","",1
"system","n. 体系；系统","'sistәm","",1
"pattern","n. 式样","'pætәn","",1
"data","n. 资料，数据","'deitә","",1
"skill","n. 技能，技巧","'skil","",1
"skilled","adj. 熟练的；有技能的","'skild","",1
"file","n.公文柜；档案(计算机)文档","fail","",1
"process","n&v. 过程,加工,处理","'prɒses","",1
"complex","a.&n. 复杂的，建筑群","kәm'pleks","",1
"output","n. 产量，输出量","'autput","",1
"debt","n. 债务；欠款","det","",1
"d","oes doesn't = does not v. 动词do的第三人称单数现在式","di:","",1
"likely","a.很可能的","'laikli","",1
"design","n.& vt. n. 设计，策划 图案，图样，样式","di'zain","",1
"rag","n. 破布，抹布","ræg","",1
"running","n. 跑步","'rʌniŋ","",1
"context","上下文","'kɒntekst","",1
"document","n. 文件；文献","'dɒkjumәnt","",1
"function","n.&v. 作用,功能,运转","'fʌŋkʃәn","",1
"specific","a.明确的,具体的,独特的","spi'sifik","",1
"application","n. 申请",".æpli'keiʃәn","",1
"create","vt. 创造； 造成","kri:'eit","",1
"support","vt.& n. 支持，赞助","sә'pɒ:t","",1
"content","a.甘愿的,满意的 n.内容","kәn'tent","",1
"request","n. 请求，要求的事物","ri'kwest","",1
"framework","n.（建筑物）框架，结构","'freimwә:k","",1
"session","n.一场,一节,一段时间","'seʃәn","",1
"basin","n. 水盆，脸盆","'beisn","",1
"chapter","n. 章","'tʃæptә","",1
"approach","n.&v. 靠近，接近，建议，要求","ә'prәutʃ","",1
"format","n.安排，计划，设计","'fɒ:mæt","",1
"service","n. 服务","'sә:vis","",1
"chain","n. 链； 链条","tʃein","",1
"target","n&v. 目标，把…作为攻击目标","'tɑ:git","",1
"learned","adj. 有才华的；博学的","'lә:nid","",1
"color","n. 颜色 vt.给…着色，涂色","'kʌlә","",1
"within","prep. 在……里面","wi'ðin","",1
"web","n. 网，网状物","web","",1
"require","vt. 需求；要求","ri'kwaiә","",1
"method","n. 方法，办法","'meθәd","",1
"project","n. 工程","'prɒdʒekt","",1
"goods","n. 商品，货物","guds","",1
"reference","n.提到,涉及,谈及,查询","'refәrәns","",1
"blanket","n. 毛毯，毯子","'blæŋkit","",1
"summary","n. 摘要，概要","'sʌmәri","",1
"component","n. 组成部分，部件","kәm'pәunәnt","",1
"perform","v. 表演，履行；行动","pә'fɒ:m","",1
"section","n. 段，部分，部门","'sekʃәn","",1
"access","n.&v. 通道，入径，存取（计算机文件）","'ækses","",1
"communication","n.交际,交往;通","kә.mju:ni'keiʃәn","",1
"development","n. 发展，发达，发育，开发","di'velәpmәnt","",1
"complete","adj. 完成vt. 完成，结束","kәm'pli:t","",1
"available","adj. 可获得的，有空的","ә'veilәbl","",1
"add","vt.添加，增加","æd","",1
"version","n. 变体，变种，改写本","'vә:ʒәn","",1
"quality","n. 质量，性质","'kwɒlәti","",1
"autonomous","adj. 自治的，自主的","ɒ:'tɒnәmәs","",1
"operation","n. 手术，操作",".ɒpә'reiʃәn","",1
"lamb","n. 羔羊","læm","",1
"dynamic","a.充满活力,精力充沛的","dai'næmik","",1
"command","n. & v. 命令","kә'mɑ:nd","",1
"control","vt.& n. 控制","kәn'trәul","",1
"initial","adj. 开始的，最初的","i'niʃәl","",1
"visual","adj. 视力的，视觉的","'viʒuәl","",1
"analysis","n. 分析，分析结果","ә'nælәsis","",1
"optional","adj. 可选择的，选修的","'ɒpʃәnl","",1
"via","prep. 经过（某地），通过","vaiә","",1
"thinking","n. 思索;见解;想法","'θiŋkiŋ","",1
"practical","adj. 实际的，适用的","'præktikl","",1
"software","n. 软件","'sɒftwєә","",1
"value","n. 价值，益处","'vælju:","",1
"style","n. 方式，作风，款式","stail","",1
"opener","n. 开具，启子","'әupәnә","",1
"opening","n. 开放，口子","'әupәniŋ","",1
"handle","n. 柄，把柄 v. 处理","hændl","",1
"primary","adj. 初等的；初级的","'praimәri","",1
"cash","n. 现金，现钞 v. 兑现","kæʃ","",1
"failure","n. 失败","'feiljә","",1
"ad","(缩) =advertisement n.广告","æd","",1
"ad.","(用于否定句或短语后)也","","",1
"instead","adv. 代替，顶替","in'sted","",1
"explicit","a.清楚明白,易于理解的","ik'splisit","",1
"raw","a.生的,未煮过的,未加工的","rɒ:","",1
"beyond","prep. (表示位置) 在…的那边","bi'jɒnd","",1
"partly","ad.部分地,在一定程度上","'pɑ:tli","",1
"concept","n. 概念","'kɒnsept","",1
"graph","n. 图表，曲线图","græf","",1
"requirement","n. 需要； 要求； 必要的条件","ri'kwaiәmәnt","",1
"standard","n. & a. 标准（的）","'stændәd","",1
"demonstrate","证明；演示","'demәnstreit","",1
"react","v. 回应，过敏，起物理，化学反应","ri'ækt","",1
"ripe","adj. 成熟的，熟的","raip","",1
"various","adj. 各种各样的，不同的","'vєәriәs","",1
"crucial","关键的","'kru:ʃәl","",1
"accuracy","n. 准确，精确","'ækjurәsi","",1
"achieve","vt. 达到，取得","ә'tʃi:v","",1
"comprehensive","全面的",".kɒmpri'hensiv","",1
"limit","vt. 限制；减少","'limit","",1
"entire","adj. 整个的，全部的","in'taiә","",1
"database","n. 资料库，数据库","'deitәbeis","",1
"product","n. 产品，制品","'prɒdʌkt","",1
"flow","vi. 流动","flәu","",1
"fundamental","adj. 十分重大的，根本的",".fʌndә'mentәl","",1
"technique","n. 技术;技巧,方法","tek'ni:k","",1
"security","n. 安全，平安","si'kjuriti","",1
"chat","n. & vi. 聊天，闲谈","tʃæt","",1
"consider","vt. 考虑","kәn'sidŋ","",1
"keeper","n. （动物园中的）饲养员，看守人","'ki:pә","",1
"load","n. 担子，货物","lәud","",1
"crew","n. 全体船员","kru:","",1
"architecture","n.建筑学，建筑设计，风格","'ɑ:kitektʃә","",1
"platform","n. 讲台,(车站的)月台","'plætfɒ:m","",1
"custom","n. 习惯，习俗，风俗习惯","'kʌstәm","",1
"customs","n. 海关，关税","'kʌstәm","",1
"social","adj. 社会的；社交的","'sәuʃәl","",1
"leading","adj. 最主要的，第一位的","'li:diŋ","",1
"level","n. 水平线，水平","'levl","",1
"address","n. 地址","ә'dres","",1
"gown","n. 礼服，长外衣，睡衣","gaun","",1
"role","n. 角色","rәul","",1
"independent","a.独立的,有主见的",".indi'pendәnt","",1
"local","adj. 当地的；地方的","'lәukәl","",1
"powerful","adj. 效力大的，强有力的，强大的","'pauәful","",1
"analyze","v. 分析","'ænәlaiz","",1
"avoid","v. 避免，躲开，逃避","ә'vɒid","",1
"import","v.& n. 进口，输入","im'pɒ:t","",1
"maple","n. 枫树","'meipl","",1
"appropriate","adj. 合适的，恰当的","ә'prәupriәt","",1
"condition","n. 条件，状况","kәn'diʃәn","",1
"contain","v. 包含；包括；能容纳","kәn'tein","",1
"adapt","v. 使适应，适合，改编","ә'dæpt","",1
"sigh","vi. 叹息；叹气","sai","",1
"immediate","adj. 立即的，马上","i'mi:diәt","",1
"represent","vt. 代表",".repri'zent","",1
"technical","adj. 技术的，工艺的","'teknikl","",1
"lid","n. 盖子","lid","",1
"particular","adj. 特殊的，个别的","pә'tikjulә","",1
"package","n. （尤指包装好或密封的容器）一包，一袋，一盒","'pækidʒ","",1
"accurate","准确的","'ækjurәt","",1
"select","vt. 选择，挑选，选拔","si'lekt","",1
"basic","adj. 基本的","'beisik","",1
"case","n. 情况；病例；案件；真相 n. 箱；盒；容器","keis","",1
"conclusion","n. 结论；结束","kәn'klu:ʒәn","",1
"principle","n. 道德原则，法则","'prinsipl","",1
"similar","adj. 相似的，像","'similә","",1
"link","v. 连接； 联系","liŋk","",1
"draft","n.&v. 草稿，草案，起草，草拟","dræft. drɑ:ft","",1
"sew","vi. 缝, 缝制；缝补；缝纫","sәu","",1
"slide","n.幻灯片,滑道 v.滑行,滑动","slaid","",1
"status","n. 法律地位（身份）","'steitәs","",1
"helmet","n. 头盔","'helmit","",1
"refer","vi. 谈到,提到,涉及,有关","ri'fә:","",1
"referee","n. 裁判，仲裁，调解员",".refә'ri:","",1
"stage","n. 舞台；阶段","steidʒ","",1
"dam","n. 水坝，堰堤","dæm","",1
"damp","adj. & n. 潮湿（的）","dæmp","",1
"dawn","n. 黎明，拂晓","dɒ:n","",1
"policy","n. 政策，方针，原则","'pɒlisi","",1
"precise","adj. 准确,精确的,确切的","pri'sais","",1
"benefit","n.&v.优势,益处,使…受益","'benifit","",1
"shark","n. 鲨鱼","ʃɑ:k","",1
"construct","v. 构筑；建造，建设","kәn'strʌkt","",1
"evaluate","v.估值，评价，评估","i'væljueit","",1
"reliable","adj. 可信赖的，可依靠的","ri'laiәbl","",1
"writing","n. 书写，写","'raitiŋ","",1
"separately","adv. 单独地，各自地","'sepәrәtli","",1
"studio","n. 工作室，演播室","'stju:diәu","",1
"actual","adj. 实际的；现实的","'æktʃuәl","",1
"author","n. 作者，作家","'ɒ:θә","",1
"employ","vt. 雇佣","im'plɒi","",1
"bat","n. （棒球、板球的）球棒 n. 蝙蝠","bæt","",1
"bay","n. 湾； 海湾","bei","",1
"block","n. 大块；（木、石等）块；街区；路障 vt. 阻塞；阻挡","blɒk","",1
