word,meaning,phonetic,example,hit
"mark","n. 标记 vt. 标明,作记号于","mɑ:k","",1
"code","n. 密码,符号,准则","kәud","",1
"strong","adj. 强(壮)的；坚固的；强烈的；坚强的","strɒŋ","",1
"use","vt. 利用,使用,应用 n. [juːs] 用法,应用,运用","ju:s","",1
"used","adj. 用过的;旧的;二手的","'ju:st","",1
"tool","n. 工具，器具","tu:l","",1
"model","n. 模型,原形,范例,模范","'mɒdәl","",1
"task","n. 任务, 工作","tɑ:sk","",1
"user","n. 使用者；用户","'ju:zә","",1
"much","a./ ad. 许多，大量，非常，更加","mʌtʃ","",1
"information","n. 信息",".infә'meiʃәn","",1
"example","n. 例子；榜样","ig'zæmpl","",1
"key","n. 钥匙;答案;键;关键","ki:","",1
"deaf","adj. 聋的","def","",1
"dear","int.（表示惊愕）哎呀！唷！a. 亲爱的；贵的","'diә","",1
"desk","n. 书桌，写字台","desk","",1
"step","n. 脚步,台阶,梯级 vi. 走,跨步","step","",1
"like","prep. 像，跟…一样 vt. 喜欢，喜爱","laik","",1
"work","n. 工作,劳动,事情 vi. 工作;(机器、器官等)运转,活动","wә:k","",1
"works","n. 著作，作品","wә:k","",1
"run","vi. 跑，奔跑；（颜色）褪色","rʌn","",1
"provide","vt. 提供","prә'vaid","",1
"error","n. 错误；差错","'erә","",1
"allow","vt. 允许，准许","ә'lau","",1
"text","n. 文本，课文","tekst","",1
"reason","n. 理由,原因","'ri:zn","",1
"state","n. 状态；情形；国家，（美国的）州","steit","",1
"new","adj. 新的；新鲜的","nju:","",1
"news","n. 新闻，消息","nju:z","",1
"neat","adj. 整洁的；灵巧的","ni:t","",1
"neck","n. 颈，脖子","nek","",1
"set","vt. 释放，安置 n. 装备，设备","set","",1
"test","vt.& n. 测试, 考查，试验","test","",1
"research","n. 研究，调查","ri'sә:tʃ","",1
"search","n.& v. 搜寻，搜查","sә:tʃ","",1
"plan","n.& v. 计划，打算","plæn","",1
"plane","n. 飞机","plein","",1
"planet","n. 行星","'plænit","",1
"plant","vt. 种植，播种 n. 植物","plænt. plɑ:nt","",1
"build","v. 建筑；造","bild","",1
"building","n. 建筑物；房屋；大楼","'bildiŋ","",1
"action","n. 行动,行为,举动","'ækʃәn","",1
"human","adj. 人的，人类的","'hju:mәn","",1
"environment","n.环境","in'vairәnmәnt","",1
"memory","n. 回忆，记忆","'memәri","",1
"knowledge","n. 知识，学问","'nɒlidʒ","",1
"main","adj. 主要的","mein","",1
"license","n. 执照，许可证","'laisns","",1
"the","太平洋","ðә","",1
"than","conj. 比","ðæn","",1
"that","a.& pron.那，那个 conj. 那，那个 ad. 那么，那样","ðæt","",1
"then","adv. 当时,那时,然后,那么","ðen","",1
"they","pron. 他（她）们；它们","ðei","",1
"make","vt. 制造,做;使得","meik","",1
"final","adj. 最后的；终极的","'fainl","",1
"follow","vt. 跟随；仿效；跟得上","'fɒlәu","",1
"following","adj. 接着的；以下的","'fɒlәuiŋ","",1
"language","n. 语言","'læŋgwidʒ","",1
"name","n. 名字,姓名,名称 vt. 命名,名叫","neim","",1
"question","vt. 询问 n. 问题","'kwestʃәn","",1
"them","pron. 他/她/它们（宾格）","ðem","",1
"type","vt. 打字 n. 种类,类型","taip","",1
"see","vt. 看见，看到；领会；拜会","si:","",1
"include","vt. 包含，包括","in'klu:d","",1
"answer","n. 回答,答复;答案 v. 回答,答复;（作出）答案","'ɑ:nsә","",1
"on","prep. 在…上（时），关于 ad. 接通；进行下去；（电灯）开","ɒn","",1
"one","pron. 一（个，只…）","wʌn","",1
"download","n.& v. 下载","","",1
"cloud","n. 云；云状物；阴影","klaud","",1
"cloudy","adj. 多云的，阴天的","'klaudi","",1
"result","n. 结果，效果","ri'zʌlt","",1
"time","n. 时间;时期;钟点,次,回 vt. 测定…的时间,记录…的时间","taim","",1
"different","adj. 不同的，有差异的","'difәrәnt","",1
"window","n. 窗户；计算机的窗","'windәu","",1
"direct","adj. 直接的；直截了当的 vt. 指挥；指导；导演（电影）","di'rekt","",1
"director","n. 所长，处长，主任；董事；导演","di'rektә","",1
"problem","n. 问题，难题","'prɒblәm","",1
"guide","n. 向导，导游者","gaid","",1
"learn","vt. 学，学习，学会","lә:n","",1
"goal","n.（足球）球门，目标","gәul","",1
"find","(found, found) vt. 找到，发现，感到","faind","",1
"first","num. 第一 a.& ad. 第一；首次；最初 n. 开始；开端","fә:st","",1
"call","n. 喊，叫；电话，通话 v. 称呼；呼唤；喊，叫","kɒ:l","",1
"understand","v. 懂得;明白;理解",".ʌndә'stænd","",1
"understanding","n. 领会;理解",".ʌndә'stændiŋ","",1
"single","adj. 单一的，单个的","'siŋgl","",1
"good","adj. 好；良好","gud","",1
"generation","n. 代，一代",".dʒenә'reiʃәn","",1
"check","n. 检查；批改 vt. 校对，核对；检查；批改","tʃek","",1
"simple","adj. 简单的，简易的","'simpl","",1
"blank","n.& a. 空格，空白（处）；空的；茫然无表情的","blæŋk","",1
"performance","n. 演出，表演","pә'fɒ:mәns","",1
"without","prep. 没有","wi'ðaut","",1
"rule","n. 规则,规定 vt. 统治,支配","ru:l","",1
"message","n. 消息，音信","'mesidʒ","",1
"ask","v. 问；请求，要求；邀请","ɑ:sk","",1
"report","n.& v. 报道，报告","ri'pɒ:t","",1
"climb","v. 爬，攀登","klaim","",1
"read","v. 读；朗读","ri:d","",1
"get","vt. 成为；得到；具有；到达","get","",1
"tie","vt.（用绳，线）系，拴，扎 n. 领带，绳子，结；关系","tai","",1
"list","n. 一览表，清单","list","",1
"often","adv. 经常，常常","'ɒ:fn","",1
"train","n. 火车 v. 培训,训练","trein","",1
"trainer","n. 训练人；教练","'treinә","",1
"training","n. 培训","'treiniŋ","",1
"next","adj. 下一个的,紧挨着的，隔壁的 ad. 随后，然后，下一步","'nekst","",1
"change","n. 零钱；找头 v. 改变，变化；更换；兑换","tʃeindʒ","",1
"monitor","n.（班级内的）班长；纠察生；监视器","'mɒnitә","",1
"across","prep./ad. 横过;穿过;另一边,在对面","ә'krɒs","",1
"event","n. 事件，大事","i'vent","",1
"manage","v. 管理；设法对付","'mænidʒ","",1
"object","n. 物，物体；宾语","'ɒbdʒekt","",1
"start","v. 开始，着手；出发","stɑ:t","",1
"focus","v. / n. 集中（注意力，精力）于，焦点，中心点","'fәukәs","",1
"lake","n. 湖","leik","",1
"lamp","n. 灯，油灯；光源","læmp","",1
"lap","n. (人坐时)膝部,(跑道的)一圈","læp","",1
