word,meaning,phonetic,example,hit
"abundance","n. 丰富，充裕，大量","əˈbʌndəns","",1
"acquaint","v. 使认识，使了解","əˈkweɪnt","",1
"activate","v. 1. 使活动，使活跃，使积极 2. 刺激，激化","ˈæktɪveɪt","",1
"addict","n. 1. 有瘾的人 2. 对某事有强烈兴趣的人","ˈædɪkt; əˈdɪkt","",1
"adhere","v. 1. 粘附， 粘着 2. 坚持，遵循","ədˈhɪə","",1
"adjacent","adj. 邻近的","əˈdʒeɪsənt","",1
"adjoin","v. 贴近，相接","əˈdʒɔɪn","",1
"adverse","adj. 不利的，相反的，敌对的","ˈædvɜːs","",1
"aerial","adj. 1. 空气的，大气的 2. 航空的","ˈeərɪəl","",1
"affiliate","v. (指团体)加入(联合),使隶属，附属于","əˈfɪlɪeɪt","",1
"affirm","v. 坚称，断言，肯定地说","əˈfɜːm","",1
"afflict","v. 使身体(精神)痛苦，折磨","əˈflɪkt","",1
"aggregate","n. 总数，合计","ˈæɡrɪɡeɪt","",1
"agreeable","adj. 1. 惬意的，爽快的 2. 易相处的  3. 适宜的，适合的","əˈɡriːəbl","",1
"air-condition","v. 设以空调设备，用空调调节","ˈeәkәnˌdiʃən","",1
"aisle","n. (教堂、戏院等的)通道，走廊","aɪl","",1
"alien","n. 外侨，外国人 adj. 1. 外国的，异邦的 2. 敌对的","ˈeɪlɪən","",1
"alienate","v. 使疏远，离间","ˈeɪlɪəneɪt","",1
"allege","v. (在提不出证明的情况下)断言，声称","əˈledʒ","",1
"alleviate","v. 缓和，减轻(痛苦等)","əˈliːvɪeɪt","",1
"alliance","n. 同盟，联盟","əˈlaɪəns","",1
"alternate","adj. 交替的，轮流的，交错的  [ˈɔːltəneɪt] v. (使)交替，(使)轮流","ɔːlˈtɜːnət","",1
"ambitious","adj. 1. 有雄心的，野心勃勃的 2. 劲头十足的","æmˈbɪʃəs","",1
"amend","v. 修改，修正，改进","əˈmend","",1
"ammunition","n. 弹药","ˌæmjʊˈnɪʃən","",1
"analogy","n. 1. 相似，类似 2. 类推，类比，比拟","əˈnælədʒɪ","",1
"anonymous","adj. 无名的，不具名的","əˈnɒnɪməs","",1
"appease","v. 使满足，平息，抚慰","əˈpiːz","",1
"appraisal","n. 评定，鉴定，评价","əˈpreɪzəl","",1
"apt","adj. 1. 恰当的，贴切的 2. 易于…的","æpt","",1
"arc","n. 弧线，弧形","ɑːk","",1
"arena","n. 1. (古罗马圆形剧场中央的)竞技场地，竞技场 2. 活动场所，竞争场所","əˈriːnə","",1
"armor","n. 盔甲，潜水服，装甲 v. 为……装甲","ˈɑːmә","",1
"arrogant","adj·傲慢无礼的，骄傲自大的","ˈærəɡənt","",1
"artery","n. 1. 动脉 2. 干线，要道(道路、铁路等)","ˈɑːtərɪ","",1
"articulate","v. 1. 清楚明白地表 2. 用关节连接","ɑːˈtɪkjʊlɪt","",1
"artillery","n. 大炮，炮兵部队","ɑːˈtɪlərɪ","",1
"ascend","v. 登高，上升，升高","əˈsend","",1
"ascertain","v. 发现，查明，确定","ˌæsəˈteɪn","",1
"ascribe","v. 把…归因于，认为…是某人所做","əˈskraɪb","",1
"aspiration","n. 渴望，志向，抱负","ˌæspɪˈreɪʃən","",1
"assassination","n. 暗杀，行刺","әˌsæsiˈneiʃәn","",1
"assault","n. 猛烈地攻击，突击，突袭 v. 1. 突击，袭击 2. 殴打 3. 强奸","əˈsɔːlt","",1
"assert","v. 1. 宣称，断言 2. 维护，坚持(权利等)","əˈsɜːt","",1
"assimilate","v. 1. 消化，吸收(食物、思想等)  2. 使…同化","əˈsɪməleɪt","",1
"assurance","n. 1. 担保，保证 2. 肯定，确信 3. 自信","əˈʃʊərəns","",1
"atlas","n. 地图册","ˈætləs","",1
"attendant","n. 1. 侍者，服务员 2. 护理员","əˈtendənt","",1
"auction","n. 拍卖  v. 以拍卖方式出售，拍卖","ˈɔːkʃən","",1
"authoritative","adj. 具权威性的，可信赖的","ɔːˈθɒrətətɪv","",1
"authorize","v. 授权，批准，委托","ˈɒːθәraiz","",1
"avail","v. 利用","əˈveɪl","",1
"avert","v. 1. 防止，避免 2. 移开(目光)，避开不看","əˈvɜːt","",1
"banquet","n. 宴会 v. 宴请，参加宴会","ˈbæŋkwɪt","",1
"barren","adj. 1. (土地)贫瘠的 2. 不孕的，不育的，不结果实的 3. 无用的，无效果的，无实际内容的","ˈbærən","",1
"barricade","n. 路障，街垒 v. 设路障，封闭，拦阻","ˌbærɪˈkeɪd","",1
"batter","v. 1. 连续猛击，炮击 2. 打烂，用旧","ˈbætə","",1
"beforehand","adv. 预先，事先","bɪˈfɔːhænd","",1
"bewilder","v. 迷惑，把…弄糊涂","bɪˈwɪldə","",1
"bibliography","n. 书目，目录，参考书目","ˌbɪblɪˈɒɡrəfɪ","",1
"bizarre","adj. 古怪的，怪诞的","bɪˈzɑː","",1
"blink","v. 1. (星星)闪烁 2. (眼睛)眨眼","blɪŋk","",1
"blunder","n. 错误 v. 弄错，犯大错","ˈblʌndə","",1
"blunt","adj. 1. 钝的，不锋利的 2. (举止言谈等)生硬的，直率的，不拐弯抹角的 3. (感觉、理解方面)迟钝的 v. 把…弄钝，把…弄迟钝","blʌnt","",1
"blur","n. 模糊不清的事物 v. 使模糊，使看不清楚","blɜː","",1
"blush","n. 脸红 v. 感到羞愧","blʌʃ","",1
"booklet","n. 小册子","ˈbʊklɪt","",1
"bowel","n. 1. 肠，内脏 2. 内部，深处 v. 挖……的内脏","ˈbauәl","",1
"brace","n. 1. 支柱，支架 2. 一双，一对 3. 大括号{}的前半或后 4. (pl BrE)(裤子)背带=(AmE) suspenders v. 1. 拉紧，系紧 2. 支住，撑牢  3. 激励，振奋  4. 打起精神，下定决心","breɪs","",1
"bracket","n. 1. 架子  2. (pl)括号","ˈbrækɪt","",1
"breach","n. 1. 违反， 不履行 2. 绝交， 不和 3. 破洞，裂缝 v. 冲破，攻破","briːtʃ","",1
"brew","v. 1. 酿造(啤酒) 2. 泡(茶)，煮(咖啡) 3. 酝酿 n. 1. 酿造物 2. (酿造饮料的)质量，品味","bruː","",1
"bribe","n. 贿赂 v. 贿赂，收买","braɪb","",1
"brink","n. 1. (峭壁顶上的)边缘，(河流等的)边沿，边 2. 边缘 || on the brink of …濒临，正要…之际","brɪŋk","",1
"brutal","adj. 残忍的，兽性的","ˈbruːtəl","",1
